gen,best,mean,sigma,gravity,phase,elapsed_s
377,1301.5084552091182,593.0346396035009,0.35084388775030295,-8.75504546215674,random,2.091353178024292
378,634.8702176259447,343.59350111877967,0.35056162151266923,-10.971366087516623,random,1.2095208168029785
379,1110.957667338459,443.0539895273986,0.35024037178335243,-9.083703586707745,random,1.812838077545166
380,759.0494548201608,334.0708190494117,0.34998376270046877,-11.770460135144196,random,1.224363088607788
381,1010.2767462225174,558.3420347346553,0.3497230488558493,-9.73471626224851,random,1.7425639629364014
382,1654.7780227781943,674.9874210208966,0.3494462973743105,-7.779913721283418,random,2.127000093460083
383,721.7148725527977,283.1979023390859,0.3492053656966978,-11.546469499040182,random,1.1618990898132324
384,1226.4746401453774,517.3994610685571,0.3489189325904325,-8.459699739648412,random,1.9155361652374268
385,832.8859685541316,320.15760737278174,0.3485237064893918,-11.818453528784442,random,1.2615056037902832
386,1293.259442788107,568.9013532118712,0.3480882595202489,-8.17832933140791,random,2.157258987426758
387,591.3331813057446,300.98811068071547,0.34757837694060834,-11.394989044655906,random,1.3179640769958496
388,1055.113979100049,420.63308044485564,0.3471279636799369,-10.386295244346753,random,1.6811399459838867
389,1305.476136110726,492.5866056523382,0.3464846409789269,-6.583498357144807,random,2.2437078952789307
390,1443.1496713923416,635.1712530636462,0.3458912976535735,-7.410934566271302,random,2.2017478942871094
391,933.8037507630947,268.7993905650161,0.3453452254213299,-11.847569363379392,random,1.2010869979858398
392,1168.7019408018468,442.9305853525181,0.34493502084280253,-9.32072555539112,random,1.8560960292816162
393,1020.7514973112924,357.1541954062542,0.34462725724801124,-11.110913176174213,random,1.5465610027313232
394,1349.6700438367877,410.2470469094831,0.34425966375856776,-7.236498207908523,random,2.0752041339874268
395,780.2558877323255,269.74201788493144,0.3439952055902387,-11.82110307496766,random,1.2114760875701904
396,1303.0130922228545,499.67667704168707,0.3437794334594132,-9.926878644802951,random,1.846411943435669
397,1031.1635950446878,270.54002940973686,0.34348855860205957,-11.748600372621617,random,1.247847318649292
398,959.4309869203231,272.9345261992845,0.343300740446825,-11.013283677604363,random,1.3127691745758057
399,860.3134708650368,318.0091055281718,0.3430480634841457,-11.522371978670714,random,1.371748924255371
400,853.931325574695,389.95136400939344,0.34288140894788977,-11.744165413273876,random,1.4078762531280518
401,1562.2144201090512,418.48362224576323,0.3426648805166713,-7.632673778669505,random,1.866206169128418
402,1308.7111923227742,455.1809156100173,0.3424078934819402,-9.948913673880469,random,1.6608481407165527
403,1428.5737745215863,425.42393372060025,0.34217300221345665,-8.317956525352903,random,1.838850975036621
404,993.5351359942271,374.2174388152751,0.34182716115564965,-10.502814546704581,random,1.5566389560699463
405,1310.065350967135,608.0820426194402,0.3415826786096697,-6.572319868991129,random,2.1892940998077393
406,1044.8431558282448,323.35979770271916,0.3413435039152107,-10.153352629850772,random,1.4014568328857422
407,1613.7331377841522,583.3476946042875,0.3412843446207862,-6.140478184946751,random,2.2864699363708496
408,573.483778076546,171.61598580882904,0.341082223287461,-11.930889780874047,random,1.129363775253296
