arm,gen,n_seeds,median_score,q1_score,q3_score,mean_score
random_variable_gravity,430,10,758.3333910904562,621.3825650881874,898.9697174735377,760.2920870120546
random_variable_gravity,440,10,1049.5405991627983,867.0153751007535,1143.964324384482,968.3002923153866
random_variable_gravity,450,10,752.7164312419195,393.7467758801398,1251.398523860668,862.3416482889509
random_variable_gravity,460,10,545.19348876718,361.09409356599184,650.4449810763679,597.6458342727822
random_variable_gravity,470,10,647.6431672249594,465.78241782623314,1003.3304467872234,738.9620042608807
random_variable_gravity,480,10,776.7922605693295,400.9497275956021,1126.7479637821743,804.7441942042576
random_variable_gravity,490,10,641.9955433942607,228.51136074614308,1160.862254292184,715.3258134188354
curriculum_variable_gravity,0,10,-334.86285265310346,-352.9630182609065,-318.6927868888208,-329.40221610801564
curriculum_variable_gravity,10,10,-272.735141389864,-293.10240234043346,-257.30572627228105,-252.59979156481737
curriculum_variable_gravity,20,10,-233.75112311852882,-287.3361491398966,-91.64643005455157,-198.67485624209056
curriculum_variable_gravity,30,10,-0.4494433918638976,-78.71721274184264,24.428056957700797,-25.635634050690392
curriculum_variable_gravity,40,10,-20.1222159757497,-63.79833509560186,16.644003481595895,-50.097653005656
curriculum_variable_gravity,50,10,-41.76436008490199,-178.35209934657706,30.00238757291239,-81.17251609804646
curriculum_variable_gravity,60,10,-12.824836768627641,-125.9926827364668,5.817413570233151,-32.53162967721697
curriculum_variable_gravity,70,10,-8.469492486457163,-76.33331797667336,32.01231313840642,-21.98100003465755
curriculum_variable_gravity,80,10,-45.621299962512936,-105.4173188486469,38.78828961479623,-41.03234301194548
curriculum_variable_gravity,90,10,-145.99094928102988,-273.9636720532791,-4.562951343556351,-145.10265417945556
curriculum_variable_gravity,100,10,-143.78502241650204,-279.84784490682284,-36.6904375003448,-142.22832651949074
curriculum_variable_gravity,110,10,-18.86856709060931,-207.42493601370478,22.922252677225334,-77.29371560451823
curriculum_variable_gravity,120,10,17.125587072900714,-41.17650462303174,160.01713998276392,43.637031660556275
curriculum_variable_gravity,130,10,12.634878234721006,-92.42426105271566,159.8991116572679,28.933891570717833
curriculum_variable_gravity,140,10,-13.0808406524847,-124.4722363281341,144.75807278366491,-11.321794777625012
curriculum_variable_gravity,150,10,58.600875921138055,-50.991675485579265,114.5074945869832,22.483919693952195
curriculum_variable_gravity,160,10,62.40460254127513,-148.30070890490563,189.11292973362248,29.008259571550035
curriculum_variable_gravity,170,10,77.83839619682723,2.363384105626937,180.31832471522316,84.16313481261574
curriculum_variable_gravity,180,10,-25.01120160480685,-147.5029852854967,191.3222890414933,10.098857463237556
curriculum_variable_gravity,190,10,91.40373451592961,20.55470815054528,172.8449817105057,80.06894721214486
curriculum_variable_gravity,200,10,44.29253452730988,-37.427945828305525,206.9005679425154,83.14709609387934
curriculum_variable_gravity,210,10,89.93388453558816,38.77305076866722,210.9239265918429,93.0480554621275
curriculum_variable_gravity,220,10,67.37783867940703,-5.0912667879011035,222.03502617367482,98.94334310788597
curriculum_variable_gravity,230,10,176.0863172694617,-16.13723345755012,216.80597508058477,73.3908758336629
curriculum_variable_gravity,240,10,153.36768129816278,92.04582411848834,218.41031957750158,139.0725461465743
curriculum_variable_gravity,250,10,110.73924803335979,42.71637862606275,140.07367121837513,70.0679580657889
curriculum_variable_gravity,260,10,181.1049666820483,130.7043172774892,233.29206866744238,123.46728521079771
curriculum_variable_gravity,270,10,197.62047471359637,154.85890696313172,246.9366397033079,169.55388796755707
curriculum_variable_gravity,280,10,134.45232364407897,46.45691460416893,287.5133590834022,124.30182208677918
curriculum_variable_gravity,290,10,188.16216719579603,2.7899653500913715,244.9033968377376,144.42733455534932
curriculum_variable_gravity,300,10,214.77550018736724,136.74372710521192,368.9767337582418,273.79686269738545
curriculum_variable_gravity,310,10,218.74924430919063,169.08968733712567,388.4393293814398,282.8440717714322
curriculum_variable_gravity,320,10,259.86781533943474,148.4101397334388,321.27948680264666,207.3980727629074
curriculum_variable_gravity,330,10,279.19489502848563,176.24040792371963,422.85908136107537,248.4346753318279
curriculum_variable_gravity,340,10,232.19279202661411,161.94418408551547,315.3348561160179,246.85487203414203
curriculum_variable_gravity,350,10,209.6439527133183,163.41715530949753,419.27572433854823,328.5348277566123
curriculum_variable_gravity,360,10,346.8190145760684,188.65777077685968,647.5230797062135,437.12536352613307
curriculum_variable_gravity,370,10,249.27208333780416,150.55083216943976,451.87753367064715,291.63913712128124
curriculum_variable_gravity,380,10,277.2264951255956,197.96493418830838,496.0350810043062,356.63845398765085
curriculum_variable_gravity,390,10,336.1318188620563,223.60369981287562,471.81482841988094,332.8610526986882
curriculum_variable_gravity,400,10,306.769693276006,250.47130061705644,513.9047985565271,371.2086092453984
curriculum_variable_gravity,410,10,299.46470468051285,218.0710522675681,622.4973502654018,521.841091482939
curriculum_variable_gravity,420,10,353.46702072889593,256.41693439824496,595.1692058203905,491.3504263033454
curriculum_variable_gravity,430,10,441.03269442083047,286.40263531113453,831.0914305142561,555.8638328025806
curriculum_variable_gravity,440,10,1013.9741884864169,300.2563670515003,1236.9449932692858,830.0407873893284
curriculum_variable_gravity,450,10,469.9185536047501,290.01298489842185,1061.877570920969,668.4756926530332
curriculum_variable_gravity,460,10,841.6789554951624,367.665242081925,1206.9569073496423,839.7165142030547
curriculum_variable_gravity,470,10,1002.8489728679705,413.40522029728675,1177.322618914196,887.9052778435731
curriculum_variable_gravity,480,10,595.436223086692,415.1035572497261,1211.2237710195664,833.7229883472071
curriculum_variable_gravity,490,10,933.4324222706042,543.0208384810521,1527.212803543613,1036.5148059288
gradual_transition,0,11,-385.05900399109515,-397.9356383675696,-373.9824025017649,-385.9707095481223
gradual_transition,5,1,-337.02737462793294,-337.02737462793294,-337.02737462793294,-337.02737462793294
gradual_transition,10,10,-383.8245486499532,-387.98135130464505,-367.71648342359765,-382.72715631305783
gradual_transition,20,10,-367.0258579882631,-383.15414310985636,-355.1460842563752,-380.0895966170562
gradual_transition,30,10,-329.2283059174961,-358.4778182471946,-231.31865117857018,-300.8159775670919
gradual_transition,40,10,-138.996460491219,-349.39936935687984,12.07945962829158,-171.47174491962406
gradual_transition,50,10,-224.58199574729986,-360.5067336646353,-41.49565336008606,-218.42134859451272
gradual_transition,60,10,-114.10457629232555,-352.59045287815184,-75.07540295452824,-164.15097667845805
gradual_transition,70,10,-231.17648150331155,-292.74752875763215,-63.69808926521141,-207.16377675280955
gradual_transition,80,10,-147.20815748106756,-335.5894997984845,-8.101994353994687,-147.29704006687666
gradual_transition,90,10,21.02893527465217,-261.22611920340745,66.9206325420191,-76.94480674816317
gradual_transition,100,10,1.0543134672729915,-18.137319275657447,72.47501481953873,17.836524450544978
gradual_transition,110,10,-8.37498571510237,-50.8141287470276,87.7452465986128,-3.6439022167922928
gradual_transition,120,10,91.22483703096925,3.3339646840510406,207.37204519321068,113.74272933622326
gradual_transition,130,10,209.0337879074406,29.803191853097488,253.26024139507086,125.32722818530465
gradual_transition,140,10,57.75843675295607,-58.56303894755721,282.65971540509287,101.12933260129768
gradual_transition,150,10,100.82502977842982,-81.01669385149565,249.29871789725556,98.30239456353506
gradual_transition,160,10,7.791320426888036,-51.71648881386845,299.29470409508394,117.8456011607851
gradual_transition,170,10,208.42152588547128,41.02734347585162,261.8551729726842,155.88956324440724
gradual_transition,180,10,171.9367605033559,-8.806034885525166,226.74229385362491,88.27015448327991
gradual_transition,190,10,221.0678340746471,5.082756637341319,322.4897690146737,166.199297795792
gradual_transition,200,10,149.43030163179697,20.29074596729657,280.0058704631698,159.3866618254064
gradual_transition,210,10,222.84579273277984,28.3754523563765,384.58870343549006,217.4245308343189
gradual_transition,220,10,244.07217998527992,99.84893953740499,344.53516336223834,238.21156432399462
gradual_transition,230,10,90.94501106943923,-35.008664223001084,258.0640732306631,139.01041731985487
gradual_transition,240,10,171.42320721021366,42.492549869937015,377.5506748764702,195.5547098494508
gradual_transition,250,10,185.56385588779477,4.128777471990141,263.4082634484889,135.7332256566789
gradual_transition,260,10,202.83161598126676,16.31131129183779,281.2456317936018,159.0054377672888
gradual_transition,270,10,218.88426165176776,93.6469368226261,302.9019056011075,226.61774801069305
gradual_transition,280,10,158.0429217078596,100.24180329178401,386.61474422676565,269.06261671296625
gradual_transition,290,10,180.5809198397401,-36.73154962881374,371.83539633895225,164.94822679233752
gradual_transition,300,10,240.52933488160312,86.78975022735754,357.4288481379261,242.146096927307
