gen,best,mean,sigma,gravity,phase,elapsed_s
225,1455.130065308858,667.3892773613877,0.38635604223049275,-4.440625000000001,ramp 31%,2.2427978515625
226,1603.867700956842,684.5672123160332,0.38577088073731575,-4.4601500000000005,ramp 31%,2.201061964035034
227,1517.093997769564,763.895325013089,0.38502052153845556,-4.479675,ramp 31%,2.6531729698181152
228,1537.5989474142,563.0404456084057,0.38427802256136806,-4.4992,ramp 32%,2.1603119373321533
229,1517.1161635208084,763.4918148412689,0.38338974990659996,-4.518725,ramp 32%,2.3828861713409424
230,1501.6465155846581,634.8661171690193,0.3826014216214385,-4.53825,ramp 32%,2.418766975402832
231,1709.5261419031224,876.9917798479946,0.38190777445657725,-4.557775,ramp 32%,2.627614974975586
232,1722.0029741438336,847.2751811149707,0.3811605644501152,-4.5773,ramp 33%,2.3910460472106934
233,1829.6330237720058,772.2344182206601,0.38048967499615916,-4.596825000000001,ramp 33%,2.8925719261169434
234,1573.0102671885325,724.8407842534391,0.3800926792066898,-4.616350000000001,ramp 33%,2.6105852127075195
235,1561.2861370452702,709.6931174174913,0.3796123285837576,-4.635875,ramp 33%,2.4581151008605957
236,1500.0103395087874,873.9577601363226,0.37922314347121394,-4.6554,ramp 34%,2.711207866668701
237,1710.565239628009,714.4199898930922,0.37893346588123017,-4.674925,ramp 34%,2.352825880050659
238,1633.434760132458,691.0289299860517,0.3786184575837282,-4.69445,ramp 34%,2.2014660835266113
239,1602.953181449342,803.2344235448859,0.3781727635846219,-4.713975,ramp 34%,2.457123041152954
240,1699.1049320116847,759.115345696935,0.3778877894072971,-4.733499999999999,ramp 35%,2.634237051010132
241,1537.2520091275617,732.0078649031745,0.3775370360706441,-4.753025,ramp 35%,2.268930196762085
242,1527.1165828754654,857.4431599946599,0.3771686816398249,-4.77255,ramp 35%,2.5426108837127686
243,1546.1402630832697,716.6769382008868,0.37682048586949785,-4.7920750000000005,ramp 35%,2.351475954055786
244,1581.5409639313195,704.8926751903934,0.37668071122606,-4.8116,ramp 36%,2.611475944519043
245,1629.5960199129852,826.9123779886311,0.3765670218601493,-4.831125,ramp 36%,2.503769874572754
246,1552.6633691190957,739.373971666286,0.37635713731559756,-4.85065,ramp 36%,2.314055919647217
247,1375.00116464284,698.7846446723667,0.3759923139752364,-4.870175,ramp 36%,2.5681850910186768
248,1607.54245795351,782.3219257555579,0.37566993382609276,-4.8896999999999995,ramp 37%,2.683858871459961
249,1553.2032024902808,790.4941048237675,0.3754349782542822,-4.909225,ramp 37%,2.5379021167755127
250,1454.9057798005585,776.2653240292484,0.3751922911122247,-4.92875,ramp 37%,2.588994026184082
251,1533.1114168171507,716.8955390480169,0.37502952472936174,-4.948275000000001,ramp 37%,2.5483157634735107
252,1400.865559303095,707.0493600532402,0.374780840936463,-4.9678,ramp 38%,2.429224967956543
253,1469.5577096196012,695.1288381669647,0.37460801355572226,-4.987325,ramp 38%,2.3222463130950928
254,1539.637553925825,815.0189512895661,0.3745101138789258,-5.00685,ramp 38%,2.5080981254577637
255,1627.905617282184,776.6086148105336,0.37449725537222484,-5.026375,ramp 38%,2.6241888999938965
256,1655.2058024615733,690.5466752158948,0.3746727576228193,-5.0459000000000005,ramp 39%,2.198996067047119
257,1573.5053944422946,697.7028639836878,0.3748867226838172,-5.065425,ramp 39%,2.3690481185913086
258,1628.5116434386853,733.3403850758408,0.37521799373627884,-5.084950000000001,ramp 39%,2.4139583110809326
259,1438.404114537211,646.4282101531262,0.37560550813830873,-5.104475000000001,ramp 39%,2.29935884475708
260,1491.7120958984108,621.8576699904731,0.3758984523138341,-5.1240000000000006,ramp 40%,2.191267967224121
261,1476.3327861191362,632.6182986710533,0.3763973460020126,-5.143525,ramp 40%,2.1553163528442383
262,1524.0484118193697,543.4266802133536,0.37690634956600555,-5.16305,ramp 40%,2.1315319538116455
263,1443.599781746192,628.1257197529088,0.37739392218281625,-5.182575,ramp 40%,2.271604061126709
264,1644.1834312826795,588.6223285384973,0.37787620150411955,-5.2021,ramp 41%,2.2640109062194824
265,1625.00362761425,731.3641907965709,0.378311339285997,-5.2216249999999995,ramp 41%,2.6156508922576904
266,1805.7403595771536,639.4840762447604,0.37887683003363853,-5.24115,ramp 41%,2.0882728099823
267,1754.0819774704623,688.3855988607169,0.3792064570322416,-5.260675,ramp 41%,2.553226947784424
268,1775.1664545592773,646.5335565057705,0.37981100285316743,-5.280200000000001,ramp 42%,2.346773147583008
269,1450.1074288914388,499.13640462511705,0.3803943284279988,-5.2997250000000005,ramp 42%,2.0189409255981445
270,1737.6037820591519,689.7293179049684,0.3809285280352245,-5.31925,ramp 42%,2.5660128593444824
271,1401.3900262337086,621.3484442510169,0.3814918753266308,-5.338775,ramp 42%,2.515495777130127
272,1600.056399808126,695.3765914525945,0.38191878830246173,-5.3583,ramp 43%,2.368708848953247
273,1483.7729242758785,570.2935160205709,0.38218042931945484,-5.377825,ramp 43%,2.190401077270508
274,1364.1644377021184,614.0372126457662,0.38257923234450475,-5.39735,ramp 43%,2.3098230361938477
275,1859.4998829592798,707.0268974541258,0.3831395150626257,-5.416875,ramp 43%,2.4621808528900146
