arm,generation,mean_score,sem_score,mean_progress_m,sem_progress_m,n_seeds
multi_environment,300,692.31,175.82,3.534,1.016,10
multi_environment,310,802.02,186.93,4.017,1.059,10
multi_environment,320,869.28,224.3,4.488,1.321,10
multi_environment,330,826.34,229.0,4.196,1.313,10
multi_environment,340,877.9,205.91,4.198,1.114,10
multi_environment,350,844.88,194.5,4.34,1.16,10
multi_environment,360,772.97,170.96,3.977,0.996,10
multi_environment,370,970.86,234.16,5.039,1.445,10
multi_environment,380,933.44,255.86,4.899,1.497,10
multi_environment,390,939.09,276.22,5.154,1.68,10
multi_environment,400,978.69,283.61,5.339,1.759,10
multi_environment,410,969.53,232.48,5.114,1.431,10
multi_environment,420,1048.92,291.14,5.791,1.798,10
multi_environment,430,1035.86,240.88,5.612,1.487,10
multi_environment,440,990.83,240.78,5.222,1.483,10
multi_environment,450,1132.27,272.33,6.116,1.673,10
multi_environment,460,1038.29,257.09,5.597,1.567,10
multi_environment,470,1136.65,264.65,6.1,1.645,10
multi_environment,480,1088.39,298.77,6.027,1.852,10
multi_environment,490,1071.66,262.23,5.886,1.642,10
